"Dataset", "G-C", "L-C", "H-JmaC", "H-JmiC", "H-JSC", "H-KmaC", "H-KmiC", "H-KSC", "E-MaC", "E-MiC", "O-MaC", "O-MiC", "R1-MaC", "R1-MiC", "R1-SC", "R2-MaC", "R2-MiC", "R2-SC", "R3-C"
"emotions",0.56855573,0.56666412,0.594019804684942,0.601081054246192,0.585886249051387,0.594019804684942,0.589473911389049,0.588580607445286,0.59668185387222,0.5875907904807,0.62644683391243,0.62644683391243,0.58834529095997,0.581112181375943,0.551378921516536,0.579221609760601,0.569433989124356,0.568628853892616,0.602980555170922
"flags",0.739338701,0.708355264,0.750832775226432,0.750832775226432,0.715046374127531,0.732361413979884,0.735438337056807,0.749457302129877,0.6969696969697,0.76179799263755,0.774810470416814,0.756806038074695,0.726071184723237,0.746852625504678,0.737049278975585,0.719529980798638,0.733376134644791,0.717780190373474,0.686652347445258
"GnegativeGO",0.923092522,0.9594891365,0.950556492790786,0.9512461479632,0.936153650879341,0.95876667341476,0.95876667341476,0.951888759282645,NA,NA,NA,NA,0.954675657698129,0.954675657698129,0.952592585451753,0.962219544407276,0.958090996436364,0.954647444239859,0.952583202388182
"GnegativePseAAC",0.51372716,0.59618956,0.595457633218616,0.597460853023307,0.560449840777123,0.566684565181765,0.567261623591335,0.553520159126475,NA,NA,NA,NA,0.585126462488633,0.565976079614652,0.565976079614652,0.596893241944865,0.587261816394012,0.566576370746693,0.593487029199965
"GpositiveGO",0.936934744,0.961789606,0.946477560545263,0.94840063746834,0.948364352998093,0.952210506844247,0.952210506844247,0.948364352998093,0.9599390990068,0.96182589145963,0.957979737613478,0.965635760835539,0.952246791314494,0.952246791314494,0.952246791314494,0.952210506844247,0.952210506844247,0.956056660690401,0.946477560545263
"GpositivePseAAC",0.57193077,0.615613,0.563901932325905,0.563901932325905,0.561978855402829,0.581100771222858,0.588793078915165,0.581100771222858,0.57356213893395,0.57359700048379,0.609955462591423,0.609955462591423,0.589090469279149,0.592936623125302,0.585389453313982,0.592457810410086,0.605919348871624,0.592457810410086,0.594971399299923
"scene",0.57405413,0.65605309,0.61045861959354,0.609294309090708,0.625878609305449,0.596506441935815,0.592645438074811,0.591087741527521,0.62086404842536,0.62086984975411,0.64949110285098,0.64949110285098,0.621257527234814,0.621257527234814,0.608150672820386,0.620524341289883,0.622074728886782,0.636396394022401,0.620082717176193
"VirusGO",0.879586895,0.964876069,0.941467236467237,0.953005698005698,0.972876068376068,0.914225071225071,0.921917378917379,0.914225071225071,0.94946723646724,0.94946723646724,0.981042735042735,0.981042735042735,0.946535612535613,0.950239316239316,0.930239316239316,0.968709401709402,0.968709401709402,0.95008547008547,0.953017094017094
"VirusPseAAC",0.1990612505,0.40700142,0.342678062678063,0.330678062678063,0.36112678062678,0.380806267806268,0.392344729344729,0.372034188034188,0.35740883190883,0.40435612535613,0.417742165242165,0.424739316239316,0.411253561253561,0.417675213675214,0.288921652421652,0.369816239316239,0.331094017094017,0.270655270655271,0.441294871794872
"Yelp",0.6646328,0.749646739,0.741288156833092,0.741288156833092,0.719536769885067,0.733488256899974,0.734844955599805,0.718018272053193,0.74393988663301,0.74761287391797,0.749646740862779,0.749646740862779,0.729876362342423,0.729876362342423,0.712085013829081,0.736596112854973,0.736709107205255,0.726367983017365,0.746537448195826
