"partition";"emotions";"flags";"GnegativeGO";"GnegativePseAAC";"GpositiveGO";"GpositivePseAAC";"scene";"VirusGO";"VirusPseAAC";"Yelp"
"global";0,60122742;0,727608513;0,940178298;0,52531151;0,940509084;0,57405143;0,5944777;0,8804497287;0,2153038879;0,69125372
"local";0,57749274;0,717949668;0,9516313766;0,56051033;0,9473020757;0,56481183;0,61130157;0,9151940304;0,38491139;0,752087861
"hpml-jma";0,611064495589141;0,73268410686054;0,950847052491398;0,574343712329012;0,940921027965162;0,546105960743465;0,588808113965848;0,910775555581485;0,340284500052067;0,747164158035358
"hpml-jmi";0,61305363363155;0,73268410686054;0,950564435350085;0,582512349859899;0,940169974658695;0,547134855538972;0,58837565675665;0,915475985902571;0,331247841910549;0,747164158035358
"hpml-js";0,604706054107369;0,723580394564366;0,948531814913482;0,558653166651711;0,942825789869923;0,547033957466676;0,60218774367182;0,92444244973726;0,362676914629745;0,730187388394014
"hpml-kma";0,611064495589141;0,725547669318553;0,952818662203217;0,548224715303226;0,942126648313482;0,559265006673239;0,590324454140934;0,891317552565293;0,398146155104447;0,737517242276601
"hpml-kmi";0,603398064103336;0,72763746358226;0,952818662203217;0,548915033419287;0,942126648313482;0,567682515090748;0,58793436933989;0,895448606696347;0,414650775820658;0,738511867480053
"hpml-ks";0,606609866925654;0,738452579140975;0,949665491361846;0,547007066560157;0,942825789869923;0,565937836380944;0,59583201370027;0,891317552565293;0,396020932579014;0,727399335557964
"exhaustive-ma";0,60313484129392;0,67153284671533;NA;NA;0,9446347213084;0,54446655022854;0,59660476553895;0,91278887313551;0,35770814489318;0,74851137669604
"exhaustive-mi";0,60226998182232;0,73839887621103;NA;NA;0,94560391480096;0,55877031691719;0,5988851061264;0,91278887313551;0,41050654107797;0,75049698120352
"oracle-ma";0,634286702915507;0,742563993974809;NA;NA;0,947970454317753;0,588107272939309;0,623704148704676;0,930952864429453;0,407710319893312;0,752087871903922
"oracle-mi";0,634286702915507;0,746138729640938;NA;NA;0,951058027872617;0,588107272939309;0,623704148704676;0,930952864429453;0,438508506690878;0,752087871903922
"r1-ma";0,603824148256441;0,725616089189849;0,948471063750699;0,565049316411313;0,944930496214409;0,566172445024374;0,596990058281003;0,916468435603999;0,404722643596;0,735886268737191
"r1-mi";0,596856865429805;0,73849758169098;0,949127433029763;0,562461126257437;0,944930496214409;0,568653227693836;0,596990058281003;0,9173231364587;0,402948067739337;0,735886268737191
"r1-s";0,575389765481492;0,729217422647931;0,951327813545236;0,564962139804982;0,944914057589259;0,561573581676137;0,591335235806758;0,90517741238496;0,290948894305563;0,721209789533341
"r2-ma";0,594895029624594;0,715750870377673;0,954667676019543;0,575439107678343;0,941463319825255;0,564258248925605;0,600460210178502;0,920757668789513;0,367108248967603;0,74358035970171
"r2-mi";0,590753377685245;0,716250308390008;0,951530402448358;0,571687136899122;0,941463319825255;0,574552020958508;0,603853932686517;0,920757668789513;0,336812757521551;0,743226866553328
"r2-s";0,587828235859141;0,710220815083465;0,951033562741766;0,566673909227001;0,94336756822483;0,565211352856778;0,611231701625996;0,906352905534683;0,279454670119667;0,735029283059552
"r3";0,590556185365475;0,690838992874311;0,948709416435706;0,554419050944714;0,937495794668345;0,550446543417307;0,589656275505449;0,917095876963943;0,409736201425943;0,745884654293067
