"";"global";"local";"hpml-jma";"hpml-jmi";"hpml-js";"hpml-kma";"hpml-kmi";"hpml-ks";"exhaustive-ma";"exhaustive-mi";"oracle-ma";"oracle-mi";"r1-ma";"r1-mi";"r1-s";"r2-ma";"r2-mi";"r2-s";"r3"
"emotions";0,39773124;0,40638356;0,403903011831617;0,393840073098688;0,412596058620646;0,403903011831617;0,411340683690425;0,385066246363527;0,40415543798995;0,40436273713124;0,35523793205008;0,35523793205008;0,387898837863755;0,399613608661718;0,412609733473474;0,409739953041899;0,414550465399602;0,412973733529063;0,453211995688815
"flags";0,20676502;0,245927703;0,21232057416268;0,21232057416268;0,206765018607124;0,269747474747475;0,259221158958001;0,296940457203615;0,3;0,22515948963317;0,206765018607124;0,206765018607124;0,272060074428496;0,279130781499203;0,262331206804891;0,250473152578416;0,250473152578416;0,220401382243488;0,245956937799043
"GnegativeGO";0,042378273;0,0430771404;0,0423679941558405;0,0423679941558405;0,0344587025415129;0,0423781258680999;0,0423781258680999;0,0423465320954989;NA;NA;NA;NA;0,0452883245581853;0,043849475637322;0,0380514473932505;0,0409290723449609;0,0437965655844119;0,0423781987581161;0,0437751764140865
"GnegativePseAAC";0,46252953;0,43674868;0,417442204291278;0,40881786566694;0,424422391165082;0,457405512266985;0,456726906215656;0,455339444756252;NA;NA;NA;NA;0,435118069677996;0,421612946724687;0,423776358852128;0,417270341781286;0,417321729242746;0,425140908549756;0,443874974994675
"GpositiveGO";0,055847493;0,0500419779;0,0558489143117334;0,0558489143117334;0,0539258373886564;0,0558851987819801;0,0558851987819801;0,0539258373886564;0,05392441446825;0,05969364523749;0,0520013375451777;0,0481943140100743;0,0577719912348103;0,0577719912348103;0,0578082757050571;0,0558112069210848;0,0558112069210848;0,0520027604655795;0,0577719912348103
"GpositivePseAAC";0,42378697;0,45671405;0,470135035146134;0,464365804376903;0,462479011924073;0,449013204701329;0,441320897009021;0,437474743162868;0,47035558780842;0,43932240530465;0,412511027633114;0,412511027633114;0,433924556760295;0,430078402914141;0,443285950083952;0,458634280998321;0,443249665613706;0,447386095221833;0,469801360311904
"scene";0,38368988;0,39434107;0,414808657513085;0,414808657513085;0,397676622454176;0,39700473359028;0,399933603883167;0,392181455360323;0,40249162668215;0,40209878244244;0,372428896868362;0,372428896868362;0,412758295523472;0,412758295523472;0,403645283382658;0,395783286130853;0,39119995279752;0,386848085882973;0,397020302823183
"VirusGO";0,091904764;0,0776190488;0,0633333333333333;0,0633333333333333;0,0633333333333333;0,0964285714285714;0,101190476190476;0,0964285714285714;0,05833333333333;0,05833333333333;0,0821428571428571;0,0821428571428571;0,0921428571428571;0,0921428571428571;0,106904761904762;0,0680952380952381;0,0680952380952381;0,0873809523809524;0,0776190476190476
"VirusPseAAC";0,7685714264;0,62761905;0,631428571428571;0,640952380952381;0,617619047619048;0,575238095238095;0,560952380952381;0,57;0,63642857142857;0,56357142857143;0,594285714285714;0,530238095238095;0,584047619047619;0,582857142857143;0,699285714285714;0,631666666666667;0,666428571428571;0,737619047619048;0,632380952380952
"Yelp";0,26678061;0,186567488;0,195329167128394;0,195329167128394;0,223679344812445;0,239417825277858;0,242120527980561;0,253928701464928;0,1995483893969;0,1939559420156;0,186567479407703;0,186567479407703;0,253950272311437;0,253950272311437;0,271749875259296;0,201306145300127;0,20204894938555;0,213031040219225;0,178687308381341
